product_id,platform,keyword,title,price,original_price,shop_name,brand,model,url,image_url,comment_count,good_count,general_count,poor_count,good_rate,general_rate,poor_rate,sales_text
tb_175060812607685,taobao,电火灶,3500瓦电焰灶电火灶电生明火灶具厨具电磁炉电陶炉火力左右切换,457.0,,阳火旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRB7X3xykagVvZ7FbkH16MmEzuQwGr7UUgwe6qD6A4KYj&spm=a21n57.1.item.27,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2222460104592/O1CN01nJDuGc1jnBsGrSqGu_!!4611686018427383696-0-item_pic.jpg_580x580q90.jpg,45770,0,0,0,,,,45770人付款
tb_440793632894696,taobao,电火灶,万和电陶炉2500W省电凹面钛晶炉家用具多功能光电灶一体全套,290.42,,万和亿凯威专卖店旺旺在线,万和,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWbAfxW2rzkdeVyApeQGBUqkjdAMgNEu96j5FWuanXMR6E&spm=a21n57.1.item.22,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2219719146501/O1CN01o7iuQA1xtVxuurthT_!!4611686018427386885-0-item_pic.jpg_580x580q90.jpg,42200,0,0,0,,,,42200+人付款
tb_274990973239310,taobao,电火灶家用,万和家用新款凹面电陶炉炒菜锅猛火2500W大功率电磁炉电灶正品,460.42,,万和万宇专卖店旺旺在线,万和,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKFLqxB1Z5whKEuuFb25pKRKrDhpkyPQMKYAL4DnNA44X&spm=a21n57.1.item.35,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2217082381832/O1CN01LdRKcr1PP6k0zdLIs_!!4611686018427381256-0-item_pic.jpg_580x580q90.jpg,42200,0,0,0,,,,42200+人付款
tb_852526164957823,taobao,电火灶双灶,黑狗（HEIGOO）电火灶电陶炉组合灶黑色双灶（左电火灶右电陶炉）,399.0,,HEiGOO黑狗旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVSdhsHjFwCUqkmrGBKWemX7BANRMrb69RGuPp5wsfA8z&spm=a21n57.1.item.48,https://gw.alicdn.com/imgextra/O1CN01J3n9v91rDwGKDCbEP_!!4611686018427382702-2-item_pic.png_580x580q90.jpg,39991,0,0,0,,,,39991人付款
tb_632934974844416,taobao,电燃灶,甲醇专用灶具乙醇工业酒精可用一键启动自吸 220v 电电喷灶,288.0,,新能源产业研发旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXSWVnBLY6GK2SDrwWX4Ub97sDEAueakA78EMLvYGffR1&spm=a21n57.1.item.25,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2213991192396/O1CN01ES3NZt1TZQ4SnSzc4_!!2213991192396.jpg_580x580q90.jpg,28821,0,0,0,,,,28821人付款
tb_web_0022,taobao,电火灶,星煜电焰灶插电生明火3.5KW电燃灶电焰电陶组合灶,2639.0,2999.0,星煜电焰旗舰店,星煜,,https://www.chanmama.com/open/tiksaleRank/5D5CfQMy4s3w12ZkCjXBF4kraqyOYTs0.html,,24000,0,0,0,98.0,,,月销2.4万
tb_424341563008845,taobao,电焰灶,华火电火灶miniX1电生明火电焰灶厨房家用公寓房车新能源灶,213.0,,华火华火专卖店旺旺在线,华火,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVCeYCU9WaRxrDnRVtFm4bhRi9WfptNNz7aNTqMuRPMvh&spm=a21n57.1.item.13,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2221340466780/O1CN011ZQ6I01zxIRCGlqyL_!!4611686018427387484-0-item_pic.jpg_580x580q90.jpg,21318,0,0,0,,,,21318人付款
tb_235126914027840,taobao,电焰灶,燧焰电焰灶安全零爆炸比用气更省钱定时防忘便携带野炊,208.0,,燧焰电焰灶旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKjMRMeqzLuCPLo6rZAZ2zYTKwJRQ2GT5EsmgypfqWHER&spm=a21n57.1.item.9,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2222371805091/O1CN01SHD03I1nTjVVNOGBB_!!2222371805091.jpg_580x580q90.jpg,20801,0,0,0,,,,20801人付款
tb_787304440824743,taobao,电焰灶,燚龙电生明火单灶纯电火灶电焰灶纯电等离子灶2026新款第5代家用,159.0,,燚龍电焰灶工厂店旺旺在线,燚龙,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTybgFoUjcG4Lkp8h5oF3hoyW5A3RhxJfitY53DmvorSi&spm=a21n57.1.item.5,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2210827293603/O1CN01UvkSE81cUEA3MoTLE_!!2210827293603.png_580x580q90.jpg,15994,0,0,0,,,,15994人付款
tb_548495090667236,taobao,电焰灶,燚龙电焰灶移动电源可用单灶电火锅电磁炉电陶炉电烤盘2025钮款款,159.0,,燚龙电焰厨房店旺旺在线,燚龙,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYwTKRh8uHPhiorpAktfY2vUk2j1QwHzepe7LqaVGpPUu&spm=a21n57.1.item.20,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3205101951/O1CN01sCGdPg1QHbrhTbuAa_!!3205101951.jpg_580x580q90.jpg,15991,0,0,0,,,,15991人付款
tb_92864075993185,taobao,电火灶双灶,美的双灶电磁炉嵌入式家用双头灶台式电磁灶3500W猛火灶26新款M5,101.0,,天猫自营天猫优品官方旗舰店旺旺在线,美的,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYpgCnSn5vYGCDKynDaDdPCBGTJAjZWJJetXVkikNasTd&spm=a21n57.1.item.32,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2218536532979/O1CN01GFeOM31XsR1pg2aEk_!!4611686018427386867-2-item_pic.png_580x580q90.jpg,10195,0,0,0,,,,10195人付款
tb_web_0004,taobao,电火灶,星煜新能源纯电火灶插电生火大功率新型电焰灶炉公寓户外以电生火,2999.0,2999.0,星煜电焰旗舰店,星煜,,http://www.ebuyso.com/50035156/CA3kNMD2XTGegeDX9J.html,,9205,0,0,0,98.0,,,月销9205
tb_999186110946650,taobao,电火灶,2026新型电火灶不用燃气科技电燃灶插电生明火家用新能源灶炉农村,9026.0,,华源电火灶厂家店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKbcSDJh94j1Kx8WKeZZJz62WatNZsasf21JARDpREfQB&spm=a21n57.1.item.18,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2221202101682/O1CN01SSsZj21OIPJdICDYD_!!2221202101682.jpg_580x580q90.jpg,9026,0,0,0,,,,9026人付款
tb_151523937774837,taobao,电燃灶,万利达凹面电磁炉家用5000w大功率商用3500W智能火锅一体猛火灶,69.0,,12年老店品牌官选舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWbTQRWZyLyEU9GT92xeGY2xjRGkK94RyLCU742kN7KKw7&spm=a21n57.1.item.42,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/240433832/O1CN01uDRHRX1eB6pr37zMw_!!240433832.jpg_580x580q90.jpg,9000,0,0,0,,,,9000+人付款
tb_5352381319036,taobao,电燃灶,荣事达气电两用燃气灶嵌入式电磁炉一体一气电灶双灶家用煤气灶头,449.74,,回头客1万荣事达珈实专卖店旺旺在线,荣事达,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXa4vY4LFaXnkVe3taRBPdeN7Ub2pmVbtpKkWt4ftpfpv&spm=a21n57.1.item.8,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217819219290/O1CN01dM1S0A2IUsbDfLZ8B_!!4611686018427381082-0-item_pic.jpg_580x580q90.jpg,7400,0,0,0,,,,7400+人付款
tb_428439508594514,taobao,电火灶商用,云夫人商用大功率电磁炉6000w饭店食堂8000w凹面猛火爆炒电磁灶,380.07,,回头客1万云夫人旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMjmXb1moyYFqPrbp4Sbz5t7YaGSGR2X1qfLKgXqQRSrL&spm=a21n57.1.item.38,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2206656783356/O1CN01L09Jux1af6KrHAPss_!!4611686018427380732-2-item_pic.png_580x580q90.jpg,7100,0,0,0,,,,07100+人付款
tb_984263625716650,taobao,电火灶家用,家用电灶电炉子家用炒菜多功能电炉灶可调温2000W3000W电热炉,168.71,,歌尼诗五金旗舰店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWQ9iHGy8hM9JfVMGHxxAK8izssNV7FtYmnUCE4XtkYEyy&spm=a21n57.1.item.24,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2212705881408/O1CN01KdHVjU1MGuRmDZKB6_!!0-item_pic.jpg_580x580q90.jpg,7100,0,0,0,,,,7100+人付款
tb_972607320482177,taobao,电火灶,商用大功率电磁炉5000w猛火平凹面家用饭店食堂电炒炉商业电磁灶,224.8,,广粤明厨电器店旺旺在线,,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWR29UtFSrdEUv7n2WfiJqC4ZtRQ6y8pfv7F2qUABg19Zf&spm=a21n57.1.item.28,https://gw.alicdn.com/imgextra/O1CN01hQnGPM1OEHlh71dGm_!!2857261673.jpg_580x580q90.jpg,7000,0,0,0,,,,7000+人付款
tb_659598489344916,taobao,电火灶,华火2026新款双灶电火灶台嵌两用6000瓦家用电生明火灶智能电燃灶,2426.67,,华火新能源专卖店旺旺在线,华火,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWiSeQvsZG2PZo5c4Fwq76i6nHqyHq24CbJckHy2usnDy&spm=a21n57.1.item.4,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2220875184308/O1CN015WE8181hh7O3btb4L_!!4611686018427386036-0-item_pic.jpg_580x580q90.jpg,6776,0,0,0,,,,6776人付款
tb_915317166894679,taobao,电焰灶,华火u7pro电火灶3000w大功率1300°高温爆炒家用电燃灶无需燃料,2200.67,,华火摩登图灵专卖店旺旺在线,华火,,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMUrJXoGiagTfvjRkHCS5Zb7KGvNznsRBgn8dMaiKDUV5&spm=a21n57.1.item.42,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2222230782574/O1CN01NesThp1UswcnsQp3o_!!4611686018427380334-0-item_pic.jpg_580x580q90.jpg,6728,0,0,0,,,,6728人付款
